risk_segment,risk_band,loan_count,customer_count,total_funded,avg_loan_amount,avg_interest_rate,total_expected_interest,expected_yield_rate,total_interest_paid,actual_yield_rate,interest_collection_rate,yield_gap,total_charge_off,loss_rate,total_cogs,total_cac,avg_cac,total_revenue,revenue_rate,total_financial_margin,total_contribution_margin,total_net_margin,net_margin_rate,npl_count,npl_rate_count,charged_off_count,charged_off_rate
Low Risk (1-2),2,536,211,676967.89999999979,1262.9998134328378,0.11981343283582088,53044.329999999994,7.8355753647994257,43959.999999999985,6.4936609254294035,82.874079095729911,1.3419144393700222,1096.0,0.16189837066129728,19526.054304278474,38913.338999999993,72.599513059701508,44307.999999999985,6.5450666124641952,43211.999999999985,23685.945695721548,-15227.393304278463,-2.2493523406764879,0,0.0,2,0.37313432835820892
Low Risk (1-2),1,31,17,60818.500000000007,1961.8870967741941,0.054193548387096765,1253.6,2.0612149263793085,1084.6000000000001,1.7833389511415114,86.518825781748575,0.27787597523779706,0.0,0.0,1644.055796879408,4175.2485,134.68543548387098,1084.6000000000001,1.7833389511415114,1084.6000000000001,-559.45579687940835,-4734.7042968794085,-7.7849738104021116,0,0.0,0,0.0
Medium Risk (3),3,2785,1316,3679062.6699999976,1321.0278886894059,0.19467145421903079,559579.78000000119,15.209846371005186,438158.61999999976,11.909517703323059,78.3013675011629,3.3003286676821268,236395.41409999994,6.4254250417539129,116697.75095789949,151489.75799999991,54.3948861759426,480328.21999999991,13.055722695802849,243932.80589999989,127235.0549421014,-24254.703057899347,-0.65926311219643785,28,1.0053859964093357,123,4.4165170556552962
High Risk (4-4.2),4.2,2221,1104,2453842.1199999987,1104.8366141377746,0.28598379108509581,560635.74000000034,22.847262072427082,329877.44000000064,13.44330335319213,58.839887731738337,9.4039587192349519,782104.93390000018,31.872667256196603,121318.63166702856,83283.964999999938,37.498408374606086,414683.0400000001,16.899336620727674,-367421.89389999985,-488740.52556702832,-572024.490567028,-23.311381197052253,90,4.0522287257991891,604,27.194957226474557
High Risk (4-4.2),4.1,1609,749,2053743.4900000009,1276.4098756991923,0.24513362336855121,425195.50000000012,20.703437506696609,288282.77,14.036941390377816,67.800051976090984,6.6664961163187932,420757.39890000032,20.487339385309514,78835.212861851483,71332.228,44.333267868241073,339097.51999999967,16.511191473088953,-81659.878899999938,-160495.0917618516,-231827.31976185163,-11.288036743179234,36,2.2374145431945309,251,15.59975139838409
Very High Risk (5),5,2161,1081,1621890.2199999983,750.52763535400118,0.30060157334567333,332899.67000000016,20.525413242827277,198451.16999999969,12.235795465860809,59.6129067956119,8.2896177769664678,558199.33549999958,34.416591740715972,116925.05017533705,56188.02399999991,26.000936603424329,287802.24999999977,17.744866233918106,-270397.0855,-387322.13567533711,-443510.1596753372,-27.345263828974669,183,8.468301712170291,793,36.695974086071267
Unknown,missing_score,48,20,63975.260000000009,1332.8179166666666,0.17041666666666666,8068.66,12.612156636799913,6795.9900000000016,10.62284076688395,84.226996799964326,1.9893158699159628,0.0,0.0,1469.5726543860471,1523.4104999999997,31.737718749999988,8187.9900000000016,12.798681865458617,8187.9900000000016,6718.4173456139515,5195.0068456139516,8.120337214126133,0,0.0,0,0.0
Unknown,null,5,2,4878.4400000000005,975.6880000000001,0.344,805.67000000000007,16.514910504177564,770.65,15.797058075942308,95.653307185324,0.71785242823525586,0.0,0.0,221.29823482504673,0.0,0.0,770.65,15.797058075942308,770.65,549.35176517495324,549.35176517495324,11.260808069279383,0,0.0,0,0.0
