vintage_month,loan_count,customer_count,total_funded,total_requested,avg_loan_amount,avg_interest_rate,total_expected_interest,total_expected_principal,total_interest_paid,total_principal_paid,total_fees_paid,total_penalties_paid,total_collected,total_revenue,interest_collection_rate,principal_collection_rate,expected_yield_rate,actual_yield_rate,total_cogs,total_charge_off,loss_rate,total_cac,avg_cac,total_financial_margin,total_contribution_margin,total_net_margin,net_margin_rate,npl_count,charged_off_count,fully_paid_count,open_default_count,current_count
2025-02-01,3694,2498,4260464.4400000153,4371605.3900000192,1153.3471683811586,0.24426908500270819,784497.24000000232,4260498.7300000153,545089.06000000041,3460403.2800000096,114162.35999999999,0.0,4119654.7000000104,659251.42000000121,69.4825975423443,81.220615221260658,18.413420673920694,12.794122980639136,187883.11415142586,826540.2706,19.400238688531267,167115.88450000025,45.239817135896011,-167288.85059999939,-355171.96475142473,-522287.8492514239,-12.258941639034594,95,733,2925,7,0
2025-03-01,3562,2155,3860070.2800000049,3923564.6300000115,1083.6805951712529,0.2468192026951154,699581.64000000106,3860070.2800000049,493923.82999999949,3246790.1500000004,92375.689999999988,0.0,3833089.6699999967,586299.51999999967,70.602743376741387,84.112203003723451,18.123546703921676,12.795721170133692,170344.17377830864,507201.36799999955,13.139692575752763,155113.63900000017,43.546782425603539,79098.152000000249,-91246.021778307855,-246359.66077830817,-6.3822584281628121,36,498,2922,15,0
2025-01-01,2140,1500,2494643.88,2563877.0600000028,1165.7214392523358,0.24095794392523429,457404.06999999942,2494643.88,268368.34999999986,1891047.9499999969,62342.98,0.0,2221759.28,330711.32999999967,58.672051169111853,75.804324824110651,18.335445538623311,10.757781988505705,98410.338722752946,664811.44380000012,26.649553033597734,84676.4495,39.568434345794472,-334100.11380000022,-432510.45252275275,-517186.902022753,-20.731893083783689,206,542,1587,1,0
